filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
43 5.188416e+01 2.622808e+00 10 4.416464e-01 -9.033902e-01 -2.374362e+00 8.988700e+01 sw00373871000b_bgd.pha 3541.28 6593.94 6199.92 6198.18 19.267549 6.437610e-08 111063_GRB050315 26997 1
44 5.149902e+01 2.845564e+00 15 4.160638e-01 -1.063075e+00 -1.739952e+00 5.435209e+01 sw00337073000b_bgd.pha 4173.29 7901.14 8017.78 9321.75 44.994283 1.186932e-08 373674_GRB091024 26997 0
45 4.916138e+01 2.577036e+00 31 4.472977e-01 -8.361011e-01 -2.335641e+00 3.961227e+00 sw00282445000b_bgd.pha 4492.39 8230.6 7533.74 6985.12 35.017749 6.761620e-11 252593_GRB061222B 26997 0
46 5.055542e+01 7.655874e+00 03 1.848456e-01 -3.802092e-01 -1.608776e+00 8.148236e+00 sw00261664000b_bgd.pha 4054.85 7703.79 7803.65 9177.46 35.017749 1.433275e-10 211117_GRB060522 26997 0
47 5.005188e+01 2.746087e+00 33 4.271124e-01 -1.335324e+00 -2.543159e+00 1.054452e+01 sw00323984000b_bgd.pha 4570.53 8379.66 7568.53 7144.48 50.662786 5.579637e-10 319584_GRB080810 26997 0
48 4.970154e+01 2.104671e+00 23 5.153524e-01 -1.250562e+00 -1.859299e+00 8.499981e+00 sw00292826000b_bgd.pha 4430 8057.3 7099.97 6012.3 31.393231 3.997307e-10 131560_GRB050603 26997 0
49 5.183411e+01 1.593858e+00 29 6.168417e-01 -9.108407e-01 -2.819581e+00 1.185145e+02 sw00209352000b_bgd.pha 4072 7540.99 6934.77 6289.92 50.662786 2.124696e-07 353540_GRB090529A 26997 1
50 5.208984e+01 3.020718e+00 13 3.979389e-01 -8.993534e-01 -1.666951e+00 1.026320e+02 sw00430094000b_bgd.pha 3959.02 7284.03 6637.18 5793.05 56.990242 3.489247e-08 373172_GRB091018 26997 0
51 5.219604e+01 3.314878e+00 23 3.708101e-01 -1.278227e+00 -1.744592e+00 1.080733e+02 sw00331093000b_bgd.pha 5292.67 9287.97 7783.66 6565.95 31.393231 4.132808e-08 228006_GRB060904B 26997 1
52 5.215027e+01 4.639818e+00 03 2.836971e-01 -7.256210e-01 -2.077608e+00 7.843931e+01 sw00450545000b_bgd.pha 3579.7 6595.57 5987.63 5250.5 35.017749 2.663688e-08 180977_GRB060210 26997 0
53 5.116516e+01 8.343672e+00 25 1.712389e-01 -6.028615e-01 -2.105390e+00 1.523097e+01 sw00501520000b_bgd.pha 3726.46 6847.9 6199.41 5351.34 31.393231 7.062185e-10 275087_GRB070411 26997 0
54 5.128418e+01 5.757871e+00 09 2.367610e-01 -5.209565e-01 -2.125948e+00 2.415152e+01 sw00278854000b_bgd.pha 5394.06 9375.89 7778.37 6591.7 31.393231 2.363548e-09 111063_GRB050315 26997 0
55 5.153137e+01 3.092122e+00 17 3.909952e-01 -5.461882e-01 -2.647244e+00 5.301541e+01 sw00259803000b_bgd.pha 3372.13 6240.58 5616.18 4863.04 0.075701 2.467479e-08 353540_GRB090529A 26997 1
56 5.131775e+01 2.935277e+00 03 4.065788e-01 -1.235713e+00 -2.511774e+00 4.310859e+01 sw00505801000b_bgd.pha 4693.74 7813.81 6074.4 5218.08 35.017749 1.385554e-08 282003_GRB070611 26997 0
57 5.147400e+01 5.560747e+00 26 2.438747e-01 -1.423139e+00 -2.505776e+00 3.095358e+01 sw00423181000b_bgd.pha 3215.76 5934.4 5412.1 4683.26 46.628525 3.845660e-09 316534_GRB080710 26997 0
58 5.122375e+01 3.377737e+00 17 3.654856e-01 -1.195152e+00 -2.525501e+00 3.477701e+01 sw00275119000b_bgd.pha 4769.84 9084.66 9384.35 11540 0.075701 7.907429e-09 214805_GRB060614 26997 0
59 4.985229e+01 2.299354e+00 13 4.849434e-01 -5.092264e-01 -2.367876e+00 9.514437e+00 sw00423184000b_bgd.pha 3261.82 5995.94 5496.64 5188.7 56.990242 6.198205e-10 228581_GRB060908 26997 0
60 5.155090e+01 5.480799e+00 13 2.468832e-01 -4.274629e-01 -1.825029e+00 3.423637e+01 sw00271019000b_bgd.pha 3926.8 7284.43 6705.95 6416.59 56.990242 3.829485e-09 332851_GRB081028 26997 0
61 5.224304e+01 2.370148e+00 15 4.747566e-01 -5.627717e-01 -2.129146e+00 1.460618e+02 sw00380311000b_bgd.pha 5136.19 9111.98 7353.84 5350.19 44.994283 1.296185e-07 150314_GRB050814 26997 1
62 5.129028e+01 3.407031e+00 20 3.630562e-01 -1.108527e+00 -1.983947e+00 3.729581e+01 sw00175603000b_bgd.pha 4410.86 8083.41 7088.98 5755.34 56.291844 6.659479e-09 177408_GRB060115 26997 0
63 5.052917e+01 9.419614e+00 20 1.535566e-01 -5.088492e-01 -2.046704e+00 6.567504e+00 sw00440635000b_bgd.pha 3655.07 7045.63 7606.05 9912.69 56.291844 1.056190e-10 351588_GRB090510 26997 0
64 5.159424e+01 6.310794e+00 21 2.188545e-01 -9.949960e-01 -2.540862e+00 3.190209e+01 sw00282066000b_bgd.pha 3831.74 7095.02 6492.58 5696.74 56.990242 4.518275e-09 180977_GRB060210 26997 0
65 5.114624e+01 1.344860e+00 17 6.823436e-01 -1.358475e+00 -2.349588e+00 5.938378e+01 sw00334877000b_bgd.pha 3821.07 7106.27 6614.19 6034.18 0.075701 5.640935e-08 228006_GRB060904B 26997 1
66 5.056274e+01 6.060575e+00 13 2.266105e-01 -6.280344e-01 -1.762988e+00 1.007388e+01 sw00132247000b_bgd.pha 4483.71 8116.86 6980.77 5535.6 56.990242 2.709073e-10 338895_GRB090102 26997 0
67 5.197327e+01 2.115046e+00 14 5.136360e-01 -9.070771e-01 -2.317080e+00 1.158333e+02 sw00449399000b_bgd.pha 5671.8 9391.8 7400.6 6486.6 56.291844 1.189139e-07 180977_GRB060210 26997 0
68 4.864990e+01 1.376595e+00 08 6.732321e-01 -7.491958e-01 -1.987535e+00 3.308724e+00 sw00228581000b_bgd.pha 3784.5 7057.06 6613.28 6467.07 46.628525 1.042628e-10 111622_GRB050319 26997 0
69 5.260803e+01 4.399974e+00 01 2.962977e-01 -5.455420e-01 -2.337396e+00 1.387679e+02 sw00432420000b_bgd.pha 3608.59 6683.95 6227.49 5780.21 50.694 8.573246e-08 255445_GRB070110 26997 0
70 5.168823e+01 5.037728e+00 27 2.650004e-01 -6.986213e-01 -2.672528e+00 4.304347e+01 sw00235715000b_bgd.pha 4091.94 7503.57 6633.58 5422.93 56.990242 1.096973e-08 353540_GRB090529A 26997 0
71 5.179871e+01 4.893699e+00 08 2.714764e-01 -4.902355e-01 -2.611606e+00 5.007600e+01 sw00421814000b_bgd.pha 3261.12 6019.52 5559.68 5057.92 46.628525 1.537823e-08 306757_GRB080319B 26997 1
72 5.173706e+01 8.485869e+00 30 1.686719e-01 -2.944900e-01 -2.510373e+00 2.898129e+01 sw00378559000b_bgd.pha 3421.94 6176.85 5526.21 4843.76 40.675039 3.561085e-09 211117_GRB060522 26997 0
73 5.000732e+01 4.509826e+00 33 2.903903e-01 -1.177766e+00 -2.360900e+00 6.810653e+00 sw00255445000b_bgd.pha 3874.14 7197.73 6713.9 6229.55 50.662786 1.386843e-10 192059_GRB060223A 26997 0
74 5.144531e+01 1.616439e+00 23 6.115182e-01 -7.465731e-01 -1.866801e+00 7.509486e+01 sw00333666000b_bgd.pha 3897.97 7284.46 6873.82 6831.09 31.393231 4.534466e-08 231362_GRB060927 26997 0
75 5.180786e+01 7.979938e+00 25 1.781749e-01 -5.526893e-01 -2.593497e+00 3.321405e+01 sw00217704000b_bgd.pha 3753.66 6910.62 6165.54 5098.38 31.393231 4.873082e-09 217704_GRB060707 26997 0
