filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
43 5.212280e+01 3.750015e+00 13 3.368411e-01 -1.191514e+00 -2.245878e+00 9.023416e+01 sw00279494000b_bgd.pha 6044.32 10115.3 7991.89 6776.74 56.990242 4.314240e-08 263361_GRB070306 27147 0
44 4.875183e+01 1.850791e+00 27 5.612478e-01 -1.031317e+00 -2.793140e+00 3.101807e+00 sw00349450000b_bgd.pha 3561.1 6581.09 5993.81 5182.62 56.990242 3.033071e-11 224552_GRB060814 27147 0
45 4.993103e+01 2.126642e+00 08 5.117311e-01 -1.099392e+00 -2.618586e+00 1.099263e+01 sw00279817000b_bgd.pha 4163.89 7630.46 6843.2 5792.34 46.628525 8.417820e-10 147478_GRB050724 27147 0
46 5.123291e+01 4.673995e+00 05 2.819883e-01 -8.273264e-01 -2.436131e+00 2.711632e+01 sw00282445000b_bgd.pha 4492.39 8230.6 7533.74 6985.12 50.662786 3.834071e-09 239899_GRB061121 27147 0
47 5.221924e+01 3.087849e+00 03 3.914038e-01 -1.067321e+00 -2.012354e+00 1.171626e+02 sw00200638000b_bgd.pha 3519.92 6560.46 6151.23 5606.11 35.017749 6.816479e-08 301981_GRB080129 27147 0
48 5.158142e+01 3.181224e+00 30 3.826631e-01 -1.213962e+00 -2.413517e+00 5.496315e+01 sw00273180000b_bgd.pha 5591.9 9601.84 7785.98 6601.06 40.675039 2.050324e-08 178750_GRB060124 27147 0
49 5.143005e+01 3.946528e+00 16 3.234592e-01 -8.260558e-01 -2.068979e+00 3.902932e+01 sw00284856000b_bgd.pha 4345.74 8121.84 7794.27 7847.7 26.557574 7.458281e-09 317508_GRB080721 27147 0
50 5.185669e+01 2.990203e+00 11 4.009821e-01 -3.950913e-01 -2.112277e+00 7.907047e+01 sw00307931000b_bgd.pha 4609.88 8536.62 7947.66 7645.57 31.393231 3.760774e-08 317508_GRB080721 27147 0
51 5.186951e+01 1.103795e+00 02 7.605304e-01 -1.309094e+00 -2.238865e+00 1.522000e+02 sw00431605000b_bgd.pha 3753.38 6962.88 6498.45 6356.58 40.675 3.941636e-07 103780_GRB050126 27147 1
52 5.220764e+01 3.462568e+00 22 3.585380e-01 -8.057525e-01 -2.246776e+00 1.059011e+02 sw00156467000b_bgd.pha 4038.16 7385.42 6482.34 5256.99 46.628525 6.278281e-08 338895_GRB090102 27147 1
53 5.216309e+01 3.672508e+00 14 3.424285e-01 -7.092399e-01 -2.282523e+00 9.608542e+01 sw00173904000b_bgd.pha 4479.01 8163.65 7179.3 5893.62 56.291844 5.207547e-08 150314_GRB050814 27147 0
54 4.773621e+01 4.282798e+00 26 3.028698e-01 -1.222751e+00 -2.259993e+00 5.198806e-01 sw00355942000b_bgd.pha 5288.58 8769.04 6788.26 5713.25 46.628525 4.959195e-13 238174_GRB061110B 27147 0
55 5.147644e+01 6.611667e+00 12 2.102036e-01 -1.331587e+00 -2.135976e+00 2.675500e+01 sw00331856000b_bgd.pha 3909.6 7240 6524 5593.6 46.628525 2.334854e-09 263361_GRB070306 27147 0
56 5.143250e+01 8.271657e+00 19 1.725689e-01 -8.319899e-01 -2.808280e+00 2.088117e+01 sw00453628000b_bgd.pha 4250.91 7453.6 6268.34 5500.37 44.994283 1.588253e-09 152113_GRB050826 27147 0
57 5.134949e+01 7.479956e-01 33 9.153341e-01 -1.023310e+00 -2.289045e+00 1.006625e+02 sw00163438000b_bgd.pha 4243.02 7745.06 6847.22 5850.42 50.662786 3.633693e-07 370846_GRB090927 27147 1
58 5.140259e+01 5.474085e+00 25 2.471392e-01 -7.946598e-01 -2.260693e+00 2.889217e+01 sw00277571000b_bgd.pha 6110.67 9991.92 7487.98 5940.69 31.393231 3.720397e-09 192059_GRB060223A 27147 0
